pipeID,N1,N2
337,10283,10282
338,10282,10353
339,10284,10283
340,10283,10288
341,10285,10284
342,10284,10345
343,10285,10306
344,10293,10286
345,10287,10303
346,10287,10290
347,10291,10288
348,10288,10292
349,10290,10295
350,10297,10293
351,10293,10294
352,10295,10300
353,10297,10296
354,10297,10309
355,10298,10297
356,10299,10298
357,10298,10302
358,10299,10354
359,10300,10329
360,10300,10303
361,10302,10301
362,10302,10311
363,10303,10330
364,10303,10305
365,10305,10304
366,10305,10323
367,10306,10308
368,10306,10315
369,10309,10307
370,10308,10310
371,10308,10313
372,10311,10309
373,10310,10317
374,10311,10322
375,10314,10315
376,10315,10325
377,10355,10316
378,10317,10328
379,10318,10317
380,10318,10370
381,10372,10319
382,10321,10320
383,10321,10331
384,10322,10321
385,10322,10332
386,10323,10330
387,10323,10326
388,10324,10325
389,10325,10338
390,10328,10327
391,10328,10343
392,10330,10358
393,10330,10340
394,10332,10331
395,10331,10334
396,10332,10336
397,10351,10333
398,10334,10352
399,10334,10335
400,10337,10338
401,10338,10357
402,10361,10339
403,10361,10341
404,10343,10342
405,10343,10360
406,10345,10344
407,10345,10347
408,10347,10356
409,10347,10348
410,10367,10349
411,10354,10350
412,10358,10351
413,10351,10367
414,10353,10354
415,10355,10353
416,10353,10363
417,10354,10362
418,10356,10355
419,10364,10355
420,10356,10365
421,10360,10357
422,10357,10366
423,10358,10375
424,10359,10362
425,10373,10359
426,10404,10360
427,10360,10361
428,10362,10380
429,10378,10363
430,10364,10363
431,10365,10364
432,10365,10435
433,10365,10366
434,10366,10433
435,10375,10367
436,10368,10493
437,10369,10500
438,10370,10397
439,10370,10376
440,10372,10371
441,10377,10372
442,10373,10387
443,10374,10373
444,10377,10374
445,10374,10383
446,10375,10392
447,10394,10376
448,10376,10382
449,10377,10390
450,10411,10378
451,10379,10378
452,10380,10379
453,10379,10391
454,10380,10429
455,10385,10381
456,10382,10393
457,10385,10382
458,10398,10384
459,10415,10385
460,10390,10386
461,10395,10387
462,10387,10388
463,10417,10389
464,10390,10403
465,10441,10393
466,10394,10398
467,10400,10394
468,10395,10418
469,10395,10424
470,10403,10396
471,10404,10397
472,10398,10417
473,10399,10407
474,10402,10399
475,10400,10416
476,10400,10405
477,10405,10401
478,10402,10408
479,10402,10406
480,10403,10428
481,10404,10419
482,10425,10405
483,10406,10409
484,10406,10469
485,10407,10455
486,10408,10436
487,10409,10586
488,10413,10409
489,10411,10410
490,10431,10411
491,10502,10412
492,10438,10413
493,10414,10434
494,10426,10414
495,10414,10422
496,10458,10415
497,10415,10432
498,10418,10427
499,10418,10424
500,10419,10433
501,10428,10420
502,10432,10421
503,10426,10423
504,10442,10424
505,10457,10425
506,10439,10426
507,10427,10444
508,10427,10442
509,10429,10428
510,10428,10473
511,10481,10429
512,10431,10429
513,10445,10430
514,10435,10431
515,10484,10431
516,10453,10432
517,10435,10433
518,10433,10455
519,10435,10514
520,10436,10465
521,10436,10445
522,10466,10437
523,10478,10438
524,10472,10439
525,10439,10462
526,10457,10440
527,10458,10441
528,10450,10441
529,10442,10464
530,10442,10449
531,10482,10443
532,10444,10517
533,10444,10451
534,10466,10445
535,10468,10446
536,10492,10447
537,10464,10448
538,10450,10454
539,10477,10450
540,10475,10452
541,10455,10468
542,10456,33372
543,10489,10456
544,10460,10457
545,10459,10458
546,10459,10496
547,10467,10459
548,10475,10460
549,10465,10460
550,10473,10461
551,10502,10463
552,10464,10508
553,10464,10497
554,10465,10499
555,10466,10479
556,10492,10466
557,10506,10467
558,10474,10467
559,10468,10486
560,10469,10582
561,10503,10469
562,10488,10470
563,10472,10471
564,10485,10472
565,10473,10498
566,10507,10474
567,10477,10474
568,10488,10475
569,10497,10476
570,10483,10477
571,10525,10478
572,10478,10490
573,10479,10495
574,10479,10509
575,10483,10480
576,10561,10481
577,10481,10482
578,10482,10484
579,10507,10483
580,10554,10484
581,10498,10485
582,10485,10513
583,10486,10501
584,10512,10487
585,10494,10488
586,10633,10489
587,10516,10491
588,10509,10492
589,10518,10492
590,10493,10536
591,10494,10512
592,10499,10494
593,10521,10496
594,10496,10506
595,10497,10520
596,10497,10508
597,10498,10522
598,10499,10526
599,10500,10523
600,10500,10505
601,10501,10510
602,10542,10502
603,10518,10503
604,10503,10529
605,10504,10542
606,3,43501
607,10506,10507
608,10508,10544
609,10508,10516
610,10535,10509
611,10509,10527
612,10510,10514
613,10522,10511
614,10512,10521
615,10514,10531
616,10574,10515
617,10599,10515
618,10516,10528
619,10527,10518
620,10518,10539
621,10533,10519
622,10522,10548
623,10523,43527
624,10536,10549
625,10557,10524
626,10525,10581
627,10526,10532
628,10526,10537
629,10530,10527
630,10539,10529
631,10529,10546
632,10553,10530
633,10530,10547
634,10531,10543
635,10532,10574
636,10532,10593
637,10533,10540
638,10551,10533
639,10535,10534
640,10537,10535
641,10536,10641
642,10537,10553
643,10538,10576
644,10547,10539
645,10539,10556
646,10566,10541
647,10576,10542
648,10543,10545
649,10545,10552
650,10556,10546
651,10546,10559
652,10575,10547
653,10547,10569
654,10548,10568
655,10548,10551
656,10573,10550
657,10551,10557
658,10565,10551
659,10552,10554
660,10552,10555
661,10553,10567
662,10553,10579
663,10554,10561
664,10555,10648
665,10555,10591
666,10569,10556
667,10556,10572
668,10557,10583
669,10557,10566
670,10559,10558
671,10558,10578
672,10558,10560
673,10572,10559
674,10561,10592
675,10561,10563
676,10563,10562
677,10563,10603
678,10577,10564
679,10566,10594
680,10566,10573
681,10568,10571
682,10597,10569
683,10569,10587
684,10570,10575
685,10571,10600
686,10571,10585
687,10589,10572
688,10573,10607
689,10573,10577
690,10574,10673
691,10575,10597
692,10620,10576
693,10577,10606
694,10604,10578
695,10578,10580
696,10578,10595
697,10595,10580
698,10580,10598
699,10581,10646
700,10640,10582
701,10588,10582
702,10612,10584
703,10599,10584
704,10596,10584
705,10585,10601
706,10601,10585
707,10586,10869
708,10611,10587
709,10587,10589
710,10588,10602
711,10588,10598
712,10589,10604
713,10592,10590
714,10591,10620
715,10591,10629
716,10592,10648
717,10593,10605
718,10623,10595
719,10595,10609
720,10608,10596
721,10619,10596
722,10597,10611
723,10597,10622
724,10609,10598
725,10608,10599
726,10600,10618
727,10600,10626
728,10601,10621
729,10602,10614
730,10602,10650
731,10613,10603
732,10632,10604
733,10604,10623
734,10605,10666
735,10630,10608
736,10610,10609
737,10634,10610
738,10610,10614
739,10611,10632
740,10611,10622
741,10619,10612
742,10618,10613
743,10613,10707
744,10614,10615
745,10614,10667
746,10615,10616
747,10616,10625
748,10635,10617
749,10618,10653
750,10631,10619
751,10683,10620
752,10621,10644
753,10626,10621
754,10622,10642
755,10645,10623
756,10623,10634
757,10630,10624
758,10625,10628
759,10625,10627
760,10626,10696
761,10628,10637
762,10628,10688
763,10662,10629
764,10636,10629
765,10631,10630
766,10681,10631
767,10631,10716
768,10632,10645
769,10632,10642
770,10687,10633
771,10634,10663
772,10643,10635
773,10635,10638
774,10659,10636
775,10636,10655
776,10637,10652
777,10637,10699
778,10642,10639
779,10640,10685
780,10640,10650
781,10641,43539
782,10642,10658
783,10644,10643
784,10649,10643
785,10644,10647
786,10645,10663
787,10645,10689
788,10748,10646
789,10647,10669
790,10647,10649
791,10648,10662
792,10649,10671
793,10650,10725
794,10650,10667
795,10660,10651
796,10652,10668
797,10652,10717
798,10653,10675
799,10653,10664
800,10660,10654
801,10656,10665
802,10679,10657
803,10703,10659
804,10683,10659
805,10660,10678
806,10671,10660
807,10678,10661
808,10662,10703
809,10662,10721
810,10668,10663
811,10664,10674
812,10695,10665
813,10665,10677
814,10667,10742
815,10667,10688
816,10668,10682
817,10668,10672
818,10669,10684
819,10669,10676
820,10672,10670
821,10671,10694
822,10672,10732
823,10673,10680
824,10673,10686
825,10674,10691
826,10721,10675
827,10679,10675
828,10676,10730
829,10696,10676
830,10701,10677
831,10677,10697
832,10694,10678
833,10679,10708
834,10679,10695
835,10680,10681
836,10680,10692
837,10681,10687
838,10682,10753
839,10682,10689
840,10825,10683
841,10684,10709
842,10684,10727
843,10685,10769
844,10686,10690
845,10688,10759
846,10688,10699
847,10689,10747
848,10689,10693
849,10691,10698
850,10693,10743
851,10693,10702
852,10709,10694
853,10695,10701
854,10695,10728
855,10696,10745
856,10697,10711
857,10710,10697
858,10698,10712
859,10699,10717
860,10715,10699
861,10704,10700
862,10701,10710
863,10701,10738
864,10702,10737
865,10702,10704
866,10703,10744
867,10704,10733
868,10705,10716
869,10724,10706
870,10709,10720
871,10710,10738
872,10710,10723
873,10711,10729
874,10723,10711
875,10712,10752
876,10715,10713
877,10718,10714
878,10777,10715
879,10716,10718
880,10717,10783
881,10717,10732
882,10718,10731
883,10719,10746
884,10721,10740
885,10726,10722
886,10723,10729
887,10723,10756
888,10724,10740
889,10746,10724
890,10742,10725
891,10725,10748
892,10726,10795
893,10733,10726
894,10727,10750
895,10730,10727
896,10729,10765
897,10745,10730
898,10730,10755
899,10731,10764
900,10731,10758
901,10732,10735
902,10733,10797
903,10737,10733
904,10734,10772
905,10735,10802
906,10735,10767
907,10754,10736
908,10743,10737
909,10737,10739
910,10738,10756
911,10739,10801
912,10739,10741
913,10770,10740
914,10742,10815
915,10759,10742
916,10743,10804
917,10747,10743
918,10798,10744
919,10744,10751
920,10745,10779
921,10745,10754
922,10746,10770
923,10772,10746
924,10747,10807
925,10747,10753
926,10748,10769
927,10773,10749
928,10803,10751
929,10751,10762
930,10753,10809
931,10753,10757
932,10754,10771
933,10754,10781
934,10765,10756
935,10774,10758
936,10758,10776
937,10759,10816
938,10777,10759
939,10799,10760
940,10767,10761
941,10817,10762
942,10762,10787
943,10780,10763
944,10764,10775
945,10764,10766
946,10766,10806
947,10766,10768
948,10767,10789
949,10769,10784
950,10770,10788
951,10770,10773
952,10772,10786
953,10794,10772
954,10773,10780
955,10775,10823
956,10775,10778
957,10776,10812
958,10776,10813
959,10777,10783
960,10814,10777
961,10792,10780
962,10796,10782
963,10784,10793
964,10834,10785
965,10786,10791
966,10844,10787
967,10787,10794
968,10788,10792
969,10791,10788
970,10822,10790
971,10810,10791
972,10792,10796
973,10793,10821
974,10794,10850
975,10794,10810
976,10795,10822
977,10795,10797
978,10796,10799
979,10796,10832
980,10797,10852
981,10801,10797
982,10811,10798
983,10803,10798
984,10799,10837
985,10802,10800
986,10801,10838
987,10804,10801
988,10817,10803
989,10804,10836
990,10807,10804
991,10839,10805
992,10823,10806
993,10806,10813
994,10807,10835
995,10876,10808
996,10810,10842
997,10810,10819
998,10830,10811
999,10813,10847
1000,10817,10875
1001,10817,10820
1002,10820,10818
1003,10820,10844
1004,10821,10869
1005,10821,10825
1006,10822,10855
1007,10823,10879
1008,10823,10834
1009,10826,10824
1010,10824,10833
1011,10824,10858
1012,10825,10830
1013,10827,10826
1014,10826,10858
1015,10864,10827
1016,10827,10828
1017,10828,10870
1018,10828,10829
1019,10829,10870
1020,10829,10831
1021,10833,10841
1022,10833,10881
1023,10834,10839
1024,10859,10835
1025,10839,10893
1026,10849,10840
1027,10841,10846
1028,10841,10901
1029,10842,10857
1030,10842,10848
1031,10868,10843
1032,10844,10904
1033,10844,10850
1034,10860,10845
1035,10846,10854
1036,10846,10914
1037,10882,10849
1038,10849,10856
1039,10850,10910
1040,10850,10868
1041,10860,10851
1042,10891,10853
1043,10854,10862
1044,10854,10922
1045,10855,10861
1046,10855,10887
1047,10857,10892
1048,10857,10874
1049,10858,10881
1050,10873,10859
1051,10878,10860
1052,10861,10894
1053,10861,10867
1054,10862,10871
1055,10862,10865
1056,10863,10877
1057,10866,10863
1058,10864,10882
1059,10864,10920
1060,11006,10866
1061,10868,10918
1062,10868,10892
1063,10869,10884
1064,10870,10880
1065,10871,10886
1066,10906,10872
1067,10873,10878
1068,10896,10873
1069,10904,10875
1070,10876,10906
1071,10877,10876
1072,10877,10885
1073,10907,10878
1074,10881,10888
1075,10882,10905
1076,10903,10883
1077,10884,11043
1078,10884,10895
1079,10886,10897
1080,10909,10888
1081,10888,10901
1082,10891,10889
1083,10894,10890
1084,10896,10891
1085,10892,10919
1086,10894,10911
1087,10895,10899
1088,10916,10896
1089,10896,10900
1090,10897,10921
1091,10897,10913
1092,10903,10898
1093,10899,10905
1094,10900,10907
1095,10900,10902
1096,10901,10914
1097,10916,10903
1098,10904,10950
1099,10904,10910
1100,10905,10908
1101,10906,10912
1102,10906,10926
1103,10921,10907
1104,10908,10936
1105,10909,10927
1106,10920,10909
1107,10910,10956
1108,10953,10911
1109,10937,10913
1110,10913,10924
1111,10914,10922
1112,10918,10915
1113,10921,10916
1114,10931,10916
1115,10931,10917
1116,10928,10918
1117,10919,10928
1118,10919,10933
1119,10941,10920
1120,10920,10930
1121,10921,10937
1122,10922,10942
1123,10926,10923
1124,10962,10924
1125,10924,10934
1126,10932,10925
1127,10926,10929
1128,10926,10939
1129,10927,10964
1130,10930,10927
1131,10928,10947
1132,10928,10940
1133,10930,10979
1134,10937,10931
1135,10945,10931
1136,10932,10958
1137,10940,10932
1138,10982,10934
1139,10934,10948
1140,10936,10935
1141,10936,10941
1142,10937,10962
1143,10946,10938
1144,10939,10943
1145,10939,10965
1146,10940,10957
1147,10941,11010
1148,10973,10941
1149,10964,10942
1150,10942,10948
1151,10944,10954
1152,10945,10959
1153,10949,10945
1154,10946,10981
1155,10946,10958
1156,10948,10986
1157,10955,10949
1158,10969,10949
1159,10953,10951
1160,10955,10952
1161,10953,10954
1162,10954,10974
1163,10962,10955
1164,10957,10975
1165,10957,10960
1166,10980,10958
1167,10969,10959
1168,10959,10970
1169,10960,10961
1170,10960,10980
1171,10961,10968
1172,10961,10963
1173,10962,10982
1174,10976,10964
1175,10971,10966
1176,11061,10967
1177,10968,10997
1178,10968,10989
1179,10982,10969
1180,10988,10969
1181,10988,10970
1182,10970,10972
1183,10977,10971
1184,10971,10993
1185,11013,10972
1186,10972,10978
1187,11034,10973
1188,10973,10992
1189,10974,10977
1190,10976,11002
1191,10979,10976
1192,10978,10977
1193,11018,10978
1194,10998,10979
1195,10980,10985
1196,10982,10994
1197,11002,10983
1198,10993,10984
1199,10985,10987
1200,10985,11015
1201,11013,10986
1202,10986,10991
1203,10987,11000
1204,10987,11011
1205,10995,10988
1206,11021,10988
1207,10991,10990
1208,11031,10991
1209,10992,11017
1210,10992,11012
1211,10996,10993
1212,10994,11008
1213,11050,10995
1214,11001,10995
1215,10996,11027
1216,11018,10996
1217,11019,10998
1218,10998,11077
1219,11121,10999
1220,11000,11024
1221,11055,11001
1222,11007,11001
1223,11002,11031
1224,11004,11003
1225,11004,11020
1226,11009,11004
1227,11021,11005
1228,11006,11039
1229,11044,11006
1230,11067,11007
1231,11013,11007
1232,11008,11013
1233,11009,11030
1234,11015,11009
1235,11010,11019
1236,11010,11040
1237,11024,11011
1238,11011,11025
1239,11012,11033
1240,11012,11028
1241,11058,11014
1242,11015,11049
1243,11027,11016
1244,11105,11018
1245,11019,11026
1246,11021,11038
1247,11034,11022
1248,11037,11023
1249,11024,11042
1250,11042,11025
1251,11025,11045
1252,11026,11102
1253,11026,11029
1254,11027,11037
1255,11029,11085
1256,11029,11054
1257,11031,11036
1258,11048,11032
1259,11033,11059
1260,11033,11052
1261,11046,11034
1262,11064,11035
1263,11036,11077
1264,11036,11058
1265,11037,11079
1266,11038,11050
1267,11038,11047
1268,11039,11061
1269,11056,11039
1270,11040,11072
1271,11040,11059
1272,11078,11041
1273,11042,11073
1274,11043,11057
1275,11043,11066
1276,11087,11044
1277,11044,11084
1278,11074,11045
1279,11045,11053
1280,11046,11132
1281,11064,11046
1282,11047,11071
1283,11047,11090
1284,11075,11048
1285,11078,11048
1286,11050,11055
1287,11079,11051
1288,11091,11053
1289,11053,11080
1290,11054,11092
1291,11054,11072
1292,11055,11067
1293,11093,11056
1294,11056,11126
1295,11057,11172
1296,11086,11058
1297,11059,11081
1298,11075,11060
1299,11061,11140
1300,11084,11062
1301,11104,11063
1302,11104,11064
1303,11065,11069
1304,11066,11112
1305,11067,11076
1306,11069,11068
1307,11071,11069
1308,11073,11070
1309,11090,11071
1310,11071,11108
1311,11072,11083
1312,11073,11074
1313,11074,11082
1314,11100,11075
1315,11086,11076
1316,11094,11076
1317,11077,11102
1318,11100,11078
1319,11087,11078
1320,11079,11130
1321,11115,11080
1322,11109,11080
1323,11112,11082
1324,11082,11091
1325,11083,11111
1326,11083,11098
1327,11084,11093
1328,11085,11117
1329,11085,11106
1330,11094,11086
1331,11095,11087
1332,11103,11088
1333,11118,11089
1334,11090,11108
1335,11091,11109
1336,11111,11092
1337,11092,11096
1338,11093,11126
1339,11094,11103
1340,11095,11166
1341,11110,11095
1342,11119,11097
1343,11108,11099
1344,11110,11100
1345,11122,11101
1346,11102,11124
1347,11102,11135
1348,11103,11119
1349,11118,11104
1350,11134,11105
1351,11130,11105
1352,11133,11107
1353,11108,11114
1354,11109,11115
1355,11138,11110
1356,11111,11117
1357,11112,11138
1358,11122,11113
1359,11113,11129
1360,11143,11116
1361,11117,11123
1362,11133,11118
1363,11119,11135
1364,11119,11120
1365,11121,11144
1366,11125,11122
1367,11168,11124
1368,11124,11162
1369,11131,11125
1370,11139,11125
1371,11126,11152
1372,11150,11127
1373,11127,11170
1374,11158,11128
1375,11130,11153
1376,11130,11137
1377,11132,11185
1378,11132,11171
1379,11143,11133
1380,11134,11136
1381,11137,11134
1382,11135,11162
1383,11137,11156
1384,11138,11167
1385,11138,11209
1386,11139,11146
1387,11159,11139
1388,11139,11141
1389,11140,11183
1390,11140,11142
1391,11158,11143
1392,11144,11153
1393,11177,11145
1394,11146,11161
1395,11169,11146
1396,11148,11146
1397,11164,11147
1398,11159,11148
1399,11148,11151
1400,11186,11149
1401,11167,11150
1402,11150,11228
1403,11152,11154
1404,11166,11152
1405,11153,11208
1406,11165,11155
1407,11161,11157
1408,11168,11158
1409,11159,11165
1410,11174,11159
1411,11189,11160
1412,11169,11161
1413,11161,11182
1414,11162,11164
1415,11192,11163
1416,11195,11164
1417,11198,11165
1418,11166,11183
1419,11166,11197
1420,11167,11194
1421,11172,11168
1422,11168,11176
1423,11179,11169
1424,11190,11169
1425,11172,11201
1426,11176,11173
1427,11174,11178
1428,11179,11174
1429,11191,11175
1430,11176,11177
1431,11177,11186
1432,11196,11179
1433,11181,11180
1434,11181,11204
1435,11182,11181
1436,11190,11182
1437,11183,11212
1438,11209,11184
1439,11185,11199
1440,11185,11206
1441,11186,11189
1442,11206,11187
1443,11205,11188
1444,11189,11191
1445,11196,11190
1446,11191,11195
1447,11192,11193
1448,11194,11192
1449,11194,11239
1450,11194,11225
1451,11195,11198
1452,11200,11196
1453,11198,11200
1454,11199,11211
1455,11199,11229
1456,11207,11200
1457,11201,11207
1458,11201,11211
1459,11207,11202
1460,11202,11203
1461,11203,11204
1462,11204,11205
1463,11205,11208
1464,11206,11222
1465,11208,11223
1466,11209,11221
1467,11224,11210
1468,11211,11231
1469,11211,11218
1470,11213,11220
1471,11213,11227
1472,11214,11213
1473,11214,11235
1474,11215,11214
1475,11215,11236
1476,11216,11215
1477,11216,11237
1478,11217,11216
1479,11218,11217
1480,11217,11219
1481,11218,11238
1482,11221,11233
1483,11221,11226
1484,11223,11248
1485,11226,11224
1486,11224,11230
1487,11225,11269
1488,11225,11279
1489,11226,11241
1490,11231,11232
1491,11231,11242
1492,11232,11247
1493,11232,11245
1494,11233,11234
1495,11233,11246
1496,11234,11255
1497,11236,11262
1498,11236,11237
1499,11237,11260
1500,11238,11237
1501,11238,11260
1502,11239,11252
1503,11239,11254
1504,11265,11240
1505,11275,11241
1506,11242,11266
1507,11242,11244
1508,11280,11243
1509,11244,11256
1510,11244,11245
1511,11245,11258
1512,11245,11247
1513,11247,11250
1514,11248,11251
1515,11248,11261
1516,11263,11249
1517,11251,11265
1518,11251,11253
1519,11254,11264
1520,11254,11286
1521,11254,11273
1522,11272,11257
1523,11263,11259
1524,11260,11266
1525,11262,11271
1526,11272,11263
1527,11265,11278
1528,11266,11268
1529,11272,11267
1530,11268,11285
1531,11268,11276
1532,11269,11275
1533,11269,11274
1534,11274,11270
1535,11271,11276
1536,11271,11282
1537,11289,11272
1538,11310,11274
1539,11277,11275
1540,11275,11289
1541,11276,11283
1542,11277,11298
1543,11278,11290
1544,11278,11302
1545,11279,11310
1546,11279,11299
1547,11280,11295
1548,11287,11280
1549,11284,11281
1550,11291,11284
1551,11285,11284
1552,11285,11288
1553,11289,11292
1554,11290,11293
1555,11291,11304
1556,11294,11291
1557,11293,11302
1558,11293,11294
1559,11294,11307
1560,11295,11297
1561,11295,11296
1562,11304,11297
1563,11297,11303
1564,11298,11305
1565,11298,11301
1566,11301,11300
1567,11306,11301
1568,11304,11309
1569,11305,11318
1570,11307,11305
1571,11306,11310
1572,11306,11311
1573,11306,11308
1574,11307,11312
1575,11310,11318
1576,11311,11316
1577,11311,11313
1578,11321,11314
1579,11319,11315
1580,11316,11317
1581,11316,11320
1582,11318,11319
1583,11319,11321
1584,11321,11322
1585,21331,21323
1586,21334,21324
1587,21324,21332
1588,21326,21325
1589,21325,21329
1590,21330,21326
1591,21337,21327
1592,21327,21335
1593,21338,21328
1594,21329,21339
1595,21330,21329
1596,21339,21330
1597,21331,21337
1598,21332,21331
1599,21333,21332
1600,21332,21342
1601,21334,21333
1602,21333,21343
1603,21336,21334
1604,21337,21335
1605,21335,21344
1606,21353,21336
1607,21338,21336
1608,21361,21338
1609,21341,21339
1610,21435,21340
1611,21341,21345
1612,21341,21356
1613,21386,21346
1614,21346,21366
1615,21347,21371
1616,21350,21347
1617,21367,21348
1618,21608,21349
1619,21350,21375
1620,21351,21350
1621,21351,21379
1622,21357,21351
1623,21359,21352
1624,21352,21394
1625,21359,21352
1626,21361,21353
1627,21353,21365
1628,21365,21354
1629,21356,21355
1630,21368,21356
1631,21357,21387
1632,21369,21357
1633,21435,21358
1634,21393,21359
1635,21360,21368
1636,21384,21360
1637,21383,21360
1638,21388,21361
1639,21373,21361
1640,21362,21455
1641,21362,21363
1642,21371,21363
1643,21363,21364
1644,21365,21380
1645,21386,21366
1646,21366,21367
1647,21367,21372
1648,21368,21370
1649,21369,21395
1650,21376,21369
1651,21384,21370
1652,21374,21370
1653,21375,21371
1654,21392,21371
1655,21397,21373
1656,21373,21377
1657,21374,21394
1658,21385,21374
1659,21379,21375
1660,21398,21375
1661,21380,21376
1662,21376,21402
1663,21377,21406
1664,21381,21377
1665,21378,21410
1666,21390,21378
